Title;;Duration (minutes)
What Ever Happened to Baby Jane?;;134
Something Good — Negro Kiss;;
The Miracle of Morgan’s Creek;;98
Miracle on 34th Street;;96
Alien;;117
Chan Is Missing;;76
Charade;;113
Shaft;;100
Shane;;118
Sherlock Jr.;;45
Blackboard Jungle;;101
Shock Corridor;;101
The Rocky Horror Picture Show;;100
T.A.M.I. Show;;112
Shrek;;
Pups Is Pups;;18
Abbott and Costello Meet Frankenstein;;82
Eadweard Muybridge, Zoopraxographer;;59
Dixon-Wanamaker Expedition to Crow Agency;;6
Dickson Experimental Sound Film;;1
Electronic Labyrinth: THX 1138 4EB;;15
Ella Cinders;;70
Empire;;485
Annie Hall;;93
It’s a Wonderful Life;;130
It;;72
This Is Spinal Tap;;82
They Call It Pro Football;;52
It’s a Gift;;68
This Is Cinerama;;115
It Happened One Night;;105
Humoresque;;90
I, An Actress;;8
I Am a Fugitive from a Chain Gang;;92
I Am Somebody;;
I Am Joaquin;;20
The Hole;;15
Yankee Doodle Dandy;;126
State Fair;;97
Fury;;92
H2O;;13
V-E +1;;17
